Ax,Ay,Az
0.022921,0.023661,0.019207
0.038466,0.072304,-0.060452
0.030179,0.20989,-0.11751
0.0088134,0.27868,-0.11594
0.0073415,0.15892,-0.096438
0.021216,0.025608,-0.061582
0.021,0.045507,0.01162
0.0055022,0.098804,0.082325
-0.018937,0.065181,0.11509
-0.045521,0.015747,0.11877
-0.03656,-0.031106,0.086127
0.022369,-0.098648,0.039001
0.060144,-0.093665,0.017747
0.02007,-0.0077015,-0.0021316
-0.044384,0.041483,-0.024263
-0.069418,0.037367,-0.026749
-0.065566,0.039145,-0.071264
-0.051929,0.055408,-0.1519
-0.026138,0.058059,-0.12866
-0.00079516,0.039777,-0.01234
0.011162,0.033995,0.0245
0.012838,0.0487,-0.036952
0.0019331,0.047607,-0.067442
-0.0195,0.040871,-0.026417
-0.027937,0.064753,0.037456
-0.013532,0.078857,0.10045
-0.0024557,0.041931,0.14317
-0.007899,0.019495,0.11748
-0.0046991,0.055924,0.027897
0.013976,0.076897,-0.024835
0.010437,0.049221,0.01629
-0.031549,0.052976,0.055228
-0.06403,0.10173,0.010628
-0.051462,0.092882,-0.044085
-0.030233,0.016274,-0.039192
-0.02699,-0.011195,-0.005558
-0.01899,0.031737,0.013618
-0.0026225,0.061618,-0.013648
0.0099621,0.06575,-0.067572
0.021076,0.074686,-0.067794
0.026423,0.081908,-0.030516
0.023759,0.08552,-0.037348
0.015394,0.094132,-0.039546
-0.0026483,0.10874,0.028198
-0.016414,0.10277,0.076758
-0.015634,-0.0089533,0.035397
-0.032987,-0.2194,-0.0094129
-0.095021,-0.30236,0.018756
-0.16328,-0.1291,0.053434
-0.15263,0.06701,0.012241
-0.034411,0.070341,-0.050034
0.064754,0.023426,-0.045167
0.021704,0.090962,-0.0093637
-0.050341,0.16991,0.0055083
-0.013583,0.18352,0.031289
0.031183,0.23955,0.059233
-0.0056427,0.30607,0.034785
-0.035365,0.20255,-0.016019
-0.022269,0.015563,-0.038097
-0.023174,-0.015565,-0.047227
-0.03361,0.041667,-0.067103
-0.010859,0.027074,-0.06677
0.036213,0.033712,-0.033239
0.05095,0.11693,-0.00015427
-0.0021829,0.1557,0.035512
-0.10255,0.11346,0.080314
-0.19862,0.044058,0.085195
-0.2032,-0.006531,0.060149
-0.06058,-0.0074766,0.058154
0.097836,0.014019,0.047575
0.08985,0.04696,0.014126
-0.016987,0.15473,0.0080531
-0.048941,0.31069,0.029968
-0.029598,0.3301,0.055546
-0.033453,0.12608,0.064733
-0.030126,-0.064608,0.037143
-0.019493,-0.030466,0.0027742
-0.077856,-0.11541,-0.062076
-0.23519,-1.3612,-0.31032
-0.18033,-4.9905,-0.7276
0.87939,-9.7272,-0.75101
2.8568,-9.8833,0.39173
3.3126,-2.5527,2.2956
0.62781,4.4812,2.9337
-1.8734,3.268,1.1971
-0.90442,-1.3584,-1.0715
0.61442,-2.1436,-1.642
-0.055152,-0.5419,-0.64781
-0.35749,0.64853,0.67661
0.49038,1.1437,1.2172
0.26128,0.39031,0.30675
-0.35299,-0.55888,-0.85365
-0.06964,-0.32671,-0.55608
0.15407,0.29804,0.52208
0.056883,0.53504,0.7621
-0.00025442,0.26366,0.095541
-0.1312,-0.22944,-0.50983
-0.098892,-0.1722,-0.38608
0.10289,0.27984,0.15865
0.12771,0.33293,0.3332
0.034988,-0.020089,0.0085702
0.020798,-0.24091,-0.26806
0.09627,-0.10836,-0.13495
0.12035,0.09315,0.1654
0.035112,0.10921,0.21471
-0.021989,0.011899,0.0028941
-0.021188,-0.062285,-0.15249
-0.013022,-0.046781,-0.045601
0.026111,0.046205,0.16843
0.04438,0.1107,0.17909
-0.010549,0.076746,-0.012323
-0.048393,0.031116,-0.11986
-0.017925,0.065142,-0.018589
0.0088535,0.10597,0.1241
0.0053814,0.069132,0.10219
0.011978,0.0022541,-0.044297
0.029192,-0.02281,-0.088245
0.041046,-0.002073,0.014729
0.061876,0.021228,0.087679
0.081986,-0.00054796,0.049105
0.064279,-0.050365,-0.03985
0.025895,-0.043307,-0.11926
0.00061227,0.042771,-0.14754
-0.033721,0.1208,-0.12165
-0.073601,0.1211,-0.088138
-0.060607,0.061821,-0.068956
0.0079739,-0.00098265,-0.056271
0.059001,-0.026698,-0.054879
0.044711,-0.022503,-0.052209
-4.32E-05,-0.015343,-0.0342
-0.017732,0.0043975,-0.044064
-0.0045249,0.022843,-0.11371
0.012501,-0.031739,-0.18813
0.025738,-0.13446,-0.18794
0.028606,-0.13758,-0.089838
0.0030296,-0.006266,0.046605
-0.033528,0.1117,0.12071
-0.036991,0.10687,0.097655
-0.013627,0.040895,0.02196
0.00097767,0.026149,-0.061451
0.012752,0.070612,-0.1044
0.026367,0.10052,-0.070588
0.0082869,0.083562,-0.020159
-0.044936,0.053253,-0.03097
-0.082723,0.048985,-0.057436
-0.062671,0.066116,-0.019299
0.00082255,0.050894,0.055916
0.045296,-0.0043671,0.087516
0.036536,-0.017012,0.049006
0.0012695,0.04091,-0.027769
-0.027309,0.085352,-0.075869
-0.03499,0.069441,-0.059691
-0.01297,0.025881,-0.014382
0.026087,-0.022683,0.025932
0.055263,-0.050686,0.045064
0.062961,-0.016223,0.017759
0.050376,0.036955,-0.032031
0.013356,0.018641,-0.055202
-0.041401,-0.033266,-0.063476
-0.061422,-0.020105,-0.072209
-0.014512,0.039903,-0.057217
0.035871,0.086251,-0.027766
0.043577,0.11242,-0.01712
0.051895,0.090668,-0.014654
0.066152,0.0077748,0.0077037
0.042539,-0.040587,0.048009
0.003483,-0.0020145,0.064638
-0.0077419,0.0056127,0.002016
-0.008394,-0.11314,-0.10747
-0.019034,-0.26857,-0.13499
-0.023495,-0.29175,-0.044629
-0.0092107,-0.13489,0.051496
0.0032576,0.031147,0.078252
-0.017398,0.041337,0.059193
-0.050983,-0.0018949,0.017125
-0.039808,0.019843,-0.021166
0.0085973,0.0010042,0.0022414
0.021832,-0.086603,0.075577
-0.032023,-0.092031,0.096226
-0.1199,0.0095204,0.03332
-0.19333,0.09681,-0.023457
-0.19413,0.11144,-0.030252
-0.089435,0.095602,-0.036491
0.030395,0.091501,-0.052193
0.045835,0.076054,-0.042557
0.0082608,0.055676,-0.016718
0.014746,0.098485,-7.47E-05
0.015834,0.16308,0.006346
-0.027698,0.13298,0.0047834
-0.03555,0.044841,-0.0046068
0.027459,0.023749,-0.02496
0.086754,0.067335,-0.039827
0.079826,0.07618,-0.00029328
0.037841,0.011177,0.082338
0.019144,-0.059129,0.1132
0.025075,-0.047998,0.056698
0.037323,0.024344,-0.01483
0.045778,0.06943,-0.03722
0.03537,0.082029,-0.028738
0.026216,0.10237,-0.045906
0.04491,0.098635,-0.10299
0.06256,0.046595,-0.13667
0.055423,0.00049794,-0.070118
0.044751,-0.00030129,0.060249
0.042303,0.033823,0.13639
0.038031,0.087247,0.13605
0.022783,0.11966,0.097642
-0.00092344,0.072426,0.0030299
-0.010294,-0.037126,-0.10233
-0.0052729,-0.10905,-0.10151
-0.025064,-0.09243,-0.020984
-0.052668,-0.051024,0.013892
-0.025513,-0.058052,-0.0036915
0.025295,-0.076048,0.0041616
0.022279,-0.02376,0.047489
-0.020038,0.071483,0.060791
-0.046101,0.12442,0.0094794
-0.041854,0.13065,-0.03723
-0.018823,0.11782,-0.022601
-0.0019746,0.075248,-0.032584
-0.0082452,0.013225,-0.12284
-0.025298,-0.028518,-0.17891
-0.034851,-0.038696,-0.12971
-0.026005,-0.027013,-0.053322
-0.0065984,-0.0035692,-0.019047
-0.00036095,0.019313,-0.018788
-0.0019052,0.046698,-0.021811
0.015227,0.080252,-0.018203
0.045331,0.080035,-0.013808
0.05448,0.028753,0.010297
0.019702,-0.020091,0.047975
-0.037136,-0.0052504,0.053756
-0.062655,0.079282,0.034906
-0.039729,0.1422,0.022934
0.0041241,0.077243,0.023282
0.039156,-0.035607,0.047156
0.033611,-0.031026,0.059635
-0.016606,0.060724,0.0027117
-0.053303,0.11626,-0.0728
-0.040367,0.12308,-0.086604
-0.020576,0.10821,-0.062399
-0.025803,0.087396,-0.049237
-0.025489,0.074267,-0.048341
0.0074769,0.049033,-0.037929
0.042957,0.0092397,-0.0035197
0.028727,-0.022496,0.017101
-0.020149,-0.040438,-0.018936
-0.030217,-0.019794,-0.072941
-0.002817,0.033132,-0.0881
-0.0038736,0.04975,-0.045279
-0.018525,0.030719,0.054089
-0.0054249,0.040367,0.15007
-0.01251,0.086768,0.16632
-0.063813,0.12805,0.11167
-0.088267,0.11788,0.042816
-0.05146,0.052649,-0.0011135
0.0021047,-0.018509,-0.0066272
0.031223,-0.088142,-0.0019274
0.023871,-0.19748,-0.03308
-0.0018231,-0.30804,-0.10435
-0.0078376,-0.29484,-0.16132
0.006867,-0.14036,-0.14912
0.012081,-0.017417,-0.09509
0.0046764,-0.036067,-0.059401
-0.0082453,-0.072092,-0.030087
-0.027702,-0.026909,0.0094829
-0.028647,-0.0085911,0.010711
0.010708,-0.10914,-0.041672
0.051817,-0.2552,-0.091222
0.044556,-0.29683,-0.094701
0.0031807,-0.14043,-0.060295
-0.026345,0.088097,-0.026784
-0.031729,0.16293,-0.02447
-0.029193,0.10287,-0.045148
-0.029249,0.051764,-0.077765
-0.021693,-0.0038119,-0.12735
-0.00059835,-0.10513,-0.14962
0.010444,-0.22059,-0.094453
